search_term,country,currency,category,source_category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,product_name_clean,standard_category,price_local_numeric,scrape_date,price_text,price_gyd,image_url,source_url,price_per_kg_gyd,page,brand_original,barcode_harmonized,sku_text_key,weight_bucket,match_key,family_key,family_overlap,regional_overlap,commercial_overlap,competitive_index,price_positioning
galletas,Dominican Republic,DOP,Galletas,Galletas,Jumbo,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,174.95,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://jumbo.com.do/galleta-dulce-sabor-chocolate-dino-10-und-paq-2006518?utm_source=supermercadosrd,Dino Chocolate,Cookies,174.95,,,,,,,,Galleta Sandwich,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,dino_dino_chocolate,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Merca Jumbo,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,174.0,2.76,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://mercajumbo.com.do/?utm_source=supermercadosrd,Dino Chocolate,Cookies,174.0,,,,,,,,Galleta Sandwich,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,dino_dino_chocolate,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Nacional,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,174.95,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://supermercadosnacional.com/galleta-dulce-sabor-chocolate-dino-10-und-paq-2006518?utm_source=supermercadosrd,Dino Chocolate,Cookies,174.95,,,,,,,,Galleta Sandwich,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,dino_dino_chocolate,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Plaza Lama,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,174.0,2.76,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://plazalama.com.do/p/galletas-sandwich-chocolate-rellenas-de-crema-dino-12-uds-753079000425?utm_source=supermercadosrd,Dino Chocolate,Cookies,174.0,,,,,,,,Galleta Sandwich,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,dino_dino_chocolate,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Ritmo,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,145.0,2.3,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://tiendasritmo.com/?utm_source=supermercadosrd,Dino Chocolate,Cookies,145.0,,,,,,,,Galleta Sandwich,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,dino_dino_chocolate,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Sirena,Dino,Dino Galleta Sandwich Chocolate 12 Und,753079000425,12,175.0,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-chocolate-12-und/9119,https://sirena.do/products/index/galletas-dulces-dino-chocolate-12-uds?utm_source=supermercadosrd,Dino Chocolate,Cookies,175.0,,,,,,,,Galleta Sandwich,0753079000425,dino_dino galleta sandwich chocolate 12 und,unknown,0753079000425,dino_dino_chocolate,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Bravo,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,175.0,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://bravova.superbravo.com.do/articulos/3911?utm_source=supermercadosrd,Dino Vainilla,Cookies,175.0,,,,,,,,Galleta Sandwich,0753079000487,dino_dino galleta sandwich vainilla 12 und,unknown,0753079000487,dino_dino_vainilla,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Garrido,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,160.0,2.54,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://www.garrido.com.do/p/181186?utm_source=supermercadosrd,Dino Vainilla,Cookies,160.0,,,,,,,,Galleta Sandwich,0753079000487,dino_dino galleta sandwich vainilla 12 und,unknown,0753079000487,dino_dino_vainilla,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Jumbo,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,174.95,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://jumbo.com.do/galleta-dulce-sabor-vainilla-dino-10-und-paq-2010114?utm_source=supermercadosrd,Dino Vainilla,Cookies,174.95,,,,,,,,Galleta Sandwich,0753079000487,dino_dino galleta sandwich vainilla 12 und,unknown,0753079000487,dino_dino_vainilla,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Merca Jumbo,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,174.0,2.76,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://mercajumbo.com.do/?utm_source=supermercadosrd,Dino Vainilla,Cookies,174.0,,,,,,,,Galleta Sandwich,0753079000487,dino_dino galleta sandwich vainilla 12 und,unknown,0753079000487,dino_dino_vainilla,1,1,1,,Market
